('Wet clay', 'Modelling', 'Pressure');('Modelling', 'Pressure', 'Wet smoothing');('Pressure', 'Wet smoothing', 'Leather-hard');('Wet smoothing', 'Leather-hard', 'Dry');('Leather-hard', 'Dry', 'Open firing');;;;;;;;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Application separate element');('Pressure', 'Application separate element', 'Wet smoothing');('Application separate element', 'Wet smoothing', 'Excisions');('Wet smoothing', 'Excisions', 'Leather-hard');('Excisions', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');('Dry', 'Open firing', 'Incrustation');;;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Application separate element');('Pressure', 'Application separate element', 'Wet smoothing');('Application separate element', 'Wet smoothing', 'Simple incision');('Wet smoothing', 'Simple incision', 'Simple impression');('Simple incision', 'Simple impression', 'Leather-hard');('Simple impression', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');;;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Application separate element');('Pressure', 'Application separate element', 'Scraping');('Application separate element', 'Scraping', 'Wet smoothing');('Scraping', 'Wet smoothing', 'Simple incision');('Wet smoothing', 'Simple incision', 'Simple impression');('Simple incision', 'Simple impression', 'Leather-hard');('Simple impression', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');;
('Wet clay', 'Modelling', 'Pressure');('Modelling', 'Pressure', 'Wet smoothing');('Pressure', 'Wet smoothing', 'Leather-hard');('Wet smoothing', 'Leather-hard', 'Dry');('Leather-hard', 'Dry', 'Open firing');;;;;;;;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Application separate element');('Pressure', 'Application separate element', 'Wet smoothing');('Application separate element', 'Wet smoothing', 'Simple incision');('Wet smoothing', 'Simple incision', 'Simple impression');('Simple incision', 'Simple impression', 'Excisions');('Simple impression', 'Excisions', 'Leather-hard');('Excisions', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Wet smoothing');('Pressure', 'Wet smoothing', 'Simple incision');('Wet smoothing', 'Simple incision', 'Simple impression');('Simple incision', 'Simple impression', 'Leather-hard');('Simple impression', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');;;;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Scraping');('Pressure', 'Scraping', 'Wet smoothing');('Scraping', 'Wet smoothing', 'Simple impression');('Wet smoothing', 'Simple impression', 'Leather-hard');('Simple impression', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');('Dry', 'Open firing', 'Smudging');;;
('Wet clay', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Wet smoothing');('Pressure', 'Wet smoothing', 'Excisions');('Wet smoothing', 'Excisions', 'Leather-hard');('Excisions', 'Leather-hard', 'Burnishing');('Leather-hard', 'Burnishing', 'Dry');('Burnishing', 'Dry', 'Open firing');;;;;;
('Wet clay', 'Modelling', 'Coiling');('Modelling', 'Coiling', 'Pressure');('Coiling', 'Pressure', 'Wet smoothing');('Pressure', 'Wet smoothing', 'Simple incision');('Wet smoothing', 'Simple incision', 'Leather-hard');('Simple incision', 'Leather-hard', 'Dry');('Leather-hard', 'Dry', 'Open firing');;;;;;
('Wet clay', 'Modelling', 'Pressure');('Modelling', 'Pressure', 'Wet smoothing');('Pressure', 'Wet smoothing', 'Leather-hard');('Wet smoothing', 'Leather-hard', 'Dry');('Leather-hard', 'Dry', 'Open firing');;;;;;;;
